,loser,losing_margin,seat,tpp,winner
135,ALP,46.4354970402123,Forrest,53.56450295978771,LIB
136,LIB,37.20277579344831,Fremantle,62.79722420655169,ALP
137,LIB,46.06388406980304,Hasluck,53.936115930196955,ALP
138,ALP,45.47300744973977,Moore,54.526992550260225,LIB
139,ALP,46.96448617205837,O'Connor,53.03551382794163,LIB
140,LIB,47.43621147172892,Pearce,52.563788528271076,ALP
141,LIB,42.07010919481581,Perth,57.929890805184215,ALP
142,LIB,49.35095417899785,Stirling,50.64904582100214,ALP
143,LIB,48.01714460659251,Swan,51.98285539340748,ALP
144,LIB,49.861720583733025,Tangney,50.13827941626696,ALP
145,LIB,41.57747064325054,Bean,58.422529356749465,ALP
146,LIB,37.66404735177059,Canberra,62.335952648229416,ALP
147,LIB,31.482653061224486,Fenner,68.51734693877549,ALP
148,LIB,38.77997754872946,Lingiari,61.22002245127053,ALP
149,LIB,49.87300843486409,Solomon,50.12699156513589,ALP
